	num_ancestors	num_children	a/(a+c)	frecuencia relativa	c/(a+c)	exp(-c)	log(1+a)
HP:0012546	3.0	0.0	1.0	NaN	0.0	1.0	0.6020599913279624
HP:0012547	5.0	26.0	0.16129032258064516	0.21923937360178972	0.8387096774193549	5.109089028063324e-12	0.7781512503836436
HP:0012548	5.0	0.0	1.0	0.006304657311368721	0.0	1.0	0.7781512503836436
HP:0012549	9.0	0.0	1.0	NaN	0.0	1.0	1.0
HP:0012550	8.0	0.0	1.0	NaN	0.0	1.0	0.9542425094393249
HP:0012551	11.0	1.0	0.9166666666666666	0.0004067520846044336	0.08333333333333333	0.3678794411714424	1.0791812460476249
HP:0012552	11.0	0.0	1.0	NaN	0.0	1.0	1.0791812460476249
HP:0012553	9.0	0.0	1.0	0.0004067520846044336	0.0	1.0	1.0
HP:0012554	8.0	0.0	1.0	0.003864144803742119	0.0	1.0	0.9542425094393249
HP:0012555	10.0	0.0	1.0	0.0002033760423022168	0.0	1.0	1.0413926851582251
HP:0012556	7.0	0.0	1.0	NaN	0.0	1.0	0.9030899869919435
HP:0012557	12.0	0.0	1.0	0.001016880211511084	0.0	1.0	1.1139433523068367
HP:0012558	7.0	2.0	0.7777777777777778	NaN	0.2222222222222222	0.13533528323661267	0.9030899869919435
HP:0012559	8.0	0.0	1.0	0.0004067520846044336	0.0	1.0	0.9542425094393249
HP:0012560	8.0	0.0	1.0	NaN	0.0	1.0	0.9542425094393249
HP:0012561	8.0	0.0	1.0	NaN	0.0	1.0	0.9542425094393249
HP:0012562	9.0	0.0	1.0	NaN	0.0	1.0	1.0
HP:0012563	9.0	0.0	1.0	NaN	0.0	1.0	1.0
HP:0012564	9.0	0.0	1.0	NaN	0.0	1.0	1.0
HP:0012565	9.0	0.0	1.0	NaN	0.0	1.0	1.0
HP:0012566	9.0	0.0	1.0	NaN	0.0	1.0	1.0
HP:0012567	9.0	0.0	1.0	NaN	0.0	1.0	1.0
HP:0012568	18.0	0.0	1.0	NaN	0.0	1.0	1.2787536009528289
HP:0012569	12.0	0.0	1.0	0.002033760423022168	0.0	1.0	1.1139433523068367
HP:0012570	6.0	0.0	1.0	0.0002033760423022168	0.0	1.0	0.8450980400142568
HP:0012571	8.0	0.0	1.0	NaN	0.0	1.0	0.9542425094393249
HP:0012572	8.0	0.0	1.0	0.0002033760423022168	0.0	1.0	0.9542425094393249
HP:0012573	10.0	0.0	1.0	NaN	0.0	1.0	1.0413926851582251
HP:0012574	13.0	0.0	1.0	0.0012202562538133007	0.0	1.0	1.146128035678238
HP:0012575	7.0	196.0	0.034482758620689655	NaN	0.9655172413793104	7.55581901971196e-86	0.9030899869919435
HP:0012576	12.0	0.0	1.0	0.0002033760423022168	0.0	1.0	1.1139433523068367
HP:0012577	14.0	0.0	1.0	0.0006101281269066504	0.0	1.0	1.1760912590556813
HP:0012578	19.0	0.0	1.0	0.0008135041692088672	0.0	1.0	1.3010299956639813
HP:0012579	19.0	0.0	1.0	0.007524913565182021	0.0	1.0	1.3010299956639813
HP:0012580	9.0	0.0	1.0	NaN	0.0	1.0	1.0
HP:0012581	8.0	0.0	1.0	NaN	0.0	1.0	0.9542425094393249
HP:0012582	8.0	0.0	1.0	0.0004067520846044336	0.0	1.0	0.9542425094393249
HP:0012583	9.0	0.0	1.0	0.001016880211511084	0.0	1.0	1.0
HP:0012584	9.0	0.0	1.0	0.0008135041692088672	0.0	1.0	1.0
HP:0012585	7.0	3.0	0.7	0.0014236322961155175	0.3	0.04978706836786394	0.9030899869919435
HP:0012586	8.0	0.0	1.0	0.0002033760423022168	0.0	1.0	0.9542425094393249
HP:0012587	12.0	0.0	1.0	0.0018303843807199512	0.0	1.0	1.1139433523068367
HP:0012588	9.0	0.0	1.0	0.0034573927191376857	0.0	1.0	1.0
HP:0012589	9.0	0.0	1.0	NaN	0.0	1.0	1.0
HP:0012590	9.0	4.0	0.6923076923076923	NaN	0.3076923076923077	0.01831563888873418	1.0
HP:0012591	7.0	26.0	0.21212121212121213	0.025015253203172667	0.7878787878787878	5.109089028063324e-12	0.9030899869919435
